보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,cluster_0,cluster_1,cluster_2,cluster_3
70,26.0,29.8,18.0,3,3,0,35.8430521238295,128.751043891861,771.0,379.0,111.0,648.0,1792.0,95.0,103.0,1,1,0,,0.46665459065854864,-0.05331492816086659,0,0,1,0
200,35.0,29.75,6.0,2,3,0,35.8216829867977,128.757699478556,1680.0,202.0,219.0,303.0,2363.0,122.0,267.0,1,1,0,,0.5609056115032197,-0.1680083852289806,0,0,1,0
100,35.0,45.0,6.0,2,3,0,35.8410914635926,128.752310471508,538.0,242.0,213.0,404.0,1762.0,15.0,140.0,1,1,0,,0.5077396777263814,-0.30403608960647527,0,0,1,0
70,24.0,25.0,6.0,1,3,0,35.8414502710287,128.750871773602,602.0,353.0,140.0,521.0,1674.0,88.0,153.0,1,1,0,,0.5276613594397466,-0.21383204878112613,0,0,1,0
100,33.0,40.0,6.0,2,3,0,35.8441644711397,128.751779439735,882.0,414.0,243.0,691.0,1922.0,175.0,229.0,1,0,0,,0.4472472532001209,0.03589886374025882,0,1,0,0
100,28.0,39.67,6.0,3,4,0,35.8209179957395,128.755500503311,1724.0,23.0,42.0,93.0,2247.0,80.0,64.0,1,1,0,,-0.45791835326689734,0.08991416110304279,0,1,0,0
70,24.0,29.8,6.0,2,4,0,35.8441644711397,128.751779439735,882.0,414.0,243.0,691.0,1922.0,175.0,229.0,1,1,0,,0.4472472532001209,0.03589886374025882,0,0,1,0
100,30.0,26.45,6.0,3,4,0,35.831214370779,128.747506021287,663.0,694.0,117.0,814.0,1099.0,138.0,193.0,0,1,0,,0.3228202015746274,0.1365015788113283,1,0,0,0
100,30.0,23.14,6.0,4,4,0,35.838713082922176,128.75153482277014,296.0,197.0,73.0,265.0,1578.0,77.0,279.0,1,1,0,,-0.19296587656577152,-0.2967613457687045,1,0,0,0
100,27.0,26.45,6.0,2,4,0,35.8313621998425,128.747577318116,661.0,697.0,112.0,798.0,1103.0,128.0,195.0,0,1,0,,0.3233951028662879,0.13631286027323516,0,0,1,0
200,36.0,26.45,6.0,3,3,0,35.8393880693448,128.752823133119,346.0,76.0,68.0,239.0,1715.0,62.0,209.0,0,1,0,,-0.44032498003777193,-0.3284830313372602,1,0,0,0
70,23.0,23.14,7.0,2,3,0,35.8376689792033,128.751372092862,205.0,266.0,52.0,199.0,1522.0,81.0,231.0,0,1,0,,-0.15782388411477133,-0.021923279179098146,1,0,0,0
100,36.0,33.06,6.0,3,3,0,35.8383798984346,128.754983091078,302.0,115.0,20.0,19.0,1855.0,144.0,179.0,1,1,0,,-0.29104801844315137,0.13393398111649954,1,0,0,0
